# from http://behindthename.com, used with permission
ABENA, f
ABENI, f
ABERASH, f
ABIDEMI, m
ABIMBOLA, m
ABIODUN, m
ABIOYE, m
ABOUBACAR, m
ACHIENG, f
ADAEZE, f
ADANNA, f
ADANNAYA, f
ADEBOWALE, m
ADEGOKE, m
ADETOKUNBO, m
ADHIAMBO, f
ADISA, m
ADJOA, f
ADWOA, f
AFIA, f
AFOLABI, m
AFUA, f
AKACHI, m
AKINYI, f
AKOSUA, f
AKUA, f
AKUCHI, m
ALABA, f
ALEMAYEHU, m
AMA, f
AMADI, m
AMAKA, f
AMARA, f
AMARACHI, f
AMEQRAN, m
ANAN, m
ANDILE, m
ANULI, f
ASHA, f
ATIENO, f
AWITI, f
AWOTWI, m
AYO, f
AYODELE, m
AYOKUNLE, m
AYOMIDE, f
AYOTUNDE, m
AZUBUIKE, m
BAAKO, m
BABAJIDE, m
BABATUNDE, m
BABIRYE, f
BAMIDELE, m
BERHANU, m
BERKO, m
BOIPELO, m
BOITUMELO, f
BOLANLE, f
BONGANI, m
BOSEDE, m
CHARLIZE, f
CHAUSIKU, f
CHI, m
CHIAMAKA, f
CHIBUEZE, m
CHIBUIKE, m
CHIBUZO, m
CHICHI, f
CHIDI, m
CHIDIEBERE, m
CHIDIEBUBE, m
CHIDIEGWU, m
CHIDIKE, m
CHIDIMMA, f
CHIDUBEM, m
CHIEMEKA, m
CHIJINDUM, m
CHIKA, f
CHIKE, m
CHIKELU, m
CHIKERE, m
CHIMA, m
CHINASA, f
CHINEDU, m
CHINONSO, m
CHINWE, m
CHINWEIKE, m
CHINWENDU, m
CHINWEUBA, m
CHINYELU, f
CHINYERE, f
CHIOMA, f
CHIPO, f
CHIUMBO, m
CHIZOBA, m
CHUKS, m
CHUKWUDI, m
CHUKWUEMEKA, m
CHUKWUMA, m
DADA, f
DAKARAI, m
DAYO, f
DEJEN, m
DESTA, f
DIKELEDI, f
DUBAKU, m
DUMISANI, m
EBELE, f
EFUA, f
EKENE, m
EKENEDILICHUKWU, m
EKUA, f
EKUNDAYO, f
EKWUEME, m
EMEKA, m
EMEM, m
ENIOLA, f
ENITAN, m
ENU, m
ENYINNAYA, m
ESHE, f
ESI, f
FARAI, m
FARAJI, m
FEMI, m
FOLAMI, m
FUMNANYA, f
FUNANYA, f
FUNGAI, m
FURAHA, f
GBEMISOLA, f
GWANDOYA, m
HIWOT, f
HLENGIWE, f
IBRAHIMA, m
IDIR, m
IDOWU, m
IFE, f
IGE, f
IKENNA, m
IMAMU, m
IMANI, f
IME, m
ISINGOMA, m
ITUMELENG, m
JELANI, m
JENGO, m
JUMAANE, m
KAGISO, f
KAMARIA, f
KATLEGO, m
KATO, m
KAYIN, m
KEFILWE, m
